property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0.0,99.0,2,2,3.0,3.0,1660.0,0,0,1,1.0,0.0,1.2
0.0,75.0,4,4,0.0,3.0,2194.44,0,1,1,2.0,1.0,2.9
0.0,45.0,3,3,3.0,0.0,1537.0,0,0,2,2.0,2.0,0.9
0.0,64.0,4,3,4.0,0.0,2000.0,0,0,0,1.0,2.0,1.9
0.0,98.0,3,3,2.0,1.0,1619.79,1,1,2,2.0,1.0,1.48
0.0,98.0,4,4,4.0,3.0,1887.39,1,0,1,2.0,0.0,1.02
0.0,83.0,3,3,3.0,3.0,1936.94,1,0,1,2.0,0.0,2.4
1.0,70.0,9,12,4.0,3.0,6390.0,1,0,2,2.0,2.0,18.02
0.0,19.0,4,4,4.0,3.0,2991.11,1,0,1,0.0,0.0,3.35
0.0,105.0,3,3,4.0,3.0,1500.0,0,0,1,2.0,1.0,1.27
0.0,82.0,3,5,3.0,3.0,1523.38,1,0,2,0.0,2.0,1.5
0.0,105.0,3,3,4.0,3.0,1558.56,0,0,1,2.0,2.0,1.13
0.0,113.0,2,2,1.0,3.0,508.89,0,0,2,1.0,2.0,0.27
1.0,52.0,3,3,2.0,3.0,1935.0,0,0,2,2.0,2.0,2.55
0.0,57.0,3,3,3.0,2.0,1600.0,0,0,2,1.0,1.0,1.9
0.0,65.0,3,3,4.0,2.0,1450.0,0,0,1,0.0,1.0,1.37
0.0,71.0,4,4,3.0,0.0,2568.47,1,0,2,2.0,2.0,3.6
0.0,91.0,3,4,4.0,3.0,2628.89,1,0,2,0.0,1.0,2.0
1.0,49.0,3,3,0.0,0.0,117.0,0,0,1,1.0,1.0,0.7
1.0,41.0,5,7,4.0,4.0,4071.0,1,1,1,2.0,1.0,9.5
0.0,90.0,3,4,3.0,0.0,1668.0,1,0,1,2.0,2.0,0.88
0.0,84.0,4,4,3.0,0.0,2117.12,1,0,1,1.0,2.0,1.35
0.0,97.0,3,3,3.0,3.0,1544.74,1,0,1,2.0,2.0,1.48
0.0,55.0,3,3,4.0,0.0,1879.28,1,0,2,2.0,2.0,2.4
0.0,46.0,2,2,3.0,1.0,540.54,0,0,1,2.0,2.0,0.55
0.0,80.0,4,4,2.0,3.0,1810.81,0,0,1,2.0,2.0,1.68
0.0,85.0,4,5,4.0,3.0,2617.12,1,0,2,0.0,0.0,3.85
1.0,56.0,4,4,3.0,0.0,4000.0,1,0,1,1.0,1.0,7.65
0.0,91.0,3,3,2.0,3.0,1355.86,0,0,1,2.0,2.0,1.35
0.0,59.0,3,3,4.0,2.0,2346.85,1,0,2,2.0,0.0,3.0
0.0,66.0,3,3,3.0,0.0,2027.03,0,0,1,2.0,2.0,2.5
0.0,65.0,3,3,4.0,2.0,1900.0,1,0,1,0.0,2.0,1.45
0.0,98.0,3,3,3.0,3.0,1644.14,0,0,1,2.0,0.0,0.88
1.0,13.0,4,5,4.0,1.0,3600.0,1,0,2,1.0,1.0,10.0
0.0,74.0,3,3,3.0,4.0,2150.0,1,0,1,2.0,2.0,3.3
0.0,73.0,3,3,3.0,1.0,2000.0,0,0,1,1.0,2.0,3.0
1.0,13.0,5,7,4.0,3.0,6228.0,1,1,1,2.0,2.0,6.25
0.0,72.0,4,6,3.0,3.0,3923.02,1,0,2,2.0,0.0,9.95
0.0,6.0,2,2,1.0,3.0,915.0,0,0,1,1.0,2.0,1.1
0.0,113.0,2,2,1.0,3.0,513.51,0,0,1,1.0,0.0,0.24
0.0,80.0,3,3,2.0,3.0,1578.0,0,0,2,2.0,1.0,1.65
0.0,38.0,2,2,1.0,3.0,570.0,0,0,0,1.0,1.0,0.22
0.0,91.0,3,3,3.0,3.0,2166.67,0,0,2,2.0,1.0,1.1
1.0,40.0,4,4,4.0,0.0,1449.0,1,1,2,1.0,2.0,3.25
0.0,75.0,3,4,2.0,3.0,3355.0,0,0,1,1.0,0.0,6.15
0.0,113.0,2,2,1.0,1.0,582.22,0,0,2,1.0,1.0,0.4
0.0,103.0,2,3,3.0,4.0,993.69,0,0,1,1.0,2.0,0.86
0.0,65.0,3,3,2.0,2.0,1920.0,1,0,2,2.0,2.0,1.54
0.0,113.0,2,2,3.0,4.0,1216.22,0,0,1,2.0,2.0,0.78
0.0,17.0,1,1,1.0,3.0,450.0,0,0,1,1.0,2.0,0.36
0.0,113.0,2,2,3.0,1.0,1216.22,0,0,1,2.0,1.0,0.91
0.0,56.0,3,3,0.0,3.0,1914.41,1,0,1,2.0,0.0,2.0
1.0,57.0,2,6,3.0,0.0,1467.0,0,0,1,1.0,2.0,3.75
1.0,21.0,10,10,2.0,2.0,400.0,0,0,1,1.0,1.0,2.25
0.0,43.0,2,2,2.0,3.0,854.34,0,0,1,1.0,2.0,0.75
0.0,95.0,2,2,3.0,0.0,1150.0,0,0,1,2.0,1.0,0.67
1.0,66.0,4,4,2.0,0.0,1728.0,1,0,2,1.0,2.0,3.49
0.0,99.0,4,5,4.0,1.0,2017.0,1,0,2,1.0,2.0,1.5
0.0,82.0,3,3,3.0,3.0,1523.38,1,0,1,1.0,2.0,1.6
0.0,72.0,2,2,3.0,1.0,1500.0,0,0,2,1.0,0.0,2.1
0.0,7.0,2,2,0.0,3.0,1450.0,0,0,1,2.0,2.0,0.8
0.0,46.0,2,2,3.0,1.0,610.0,0,0,1,2.0,2.0,0.55
1.0,57.0,2,6,4.0,0.0,1467.0,0,0,2,1.0,2.0,3.75
0.0,75.0,3,3,3.0,3.0,1486.49,1,0,1,1.0,2.0,2.5
0.0,73.0,3,3,4.0,1.0,3063.06,0,0,1,2.0,1.0,3.4
0.0,75.0,2,2,2.0,3.0,1010.0,0,0,2,0.0,2.0,1.42
0.0,55.0,2,2,2.0,3.0,1107.78,0,0,2,1.0,2.0,1.05
1.0,52.0,5,4,4.0,0.0,1836.0,1,0,2,2.0,2.0,6.5
0.0,91.0,2,2,3.0,3.0,1700.0,0,0,1,1.0,2.0,1.0
0.0,69.0,2,2,0.0,3.0,790.0,0,0,2,1.0,1.0,0.6
0.0,41.0,2,2,2.0,4.0,1492.0,0,0,1,2.0,1.0,1.2
1.0,52.0,3,4,4.0,1.0,1935.0,1,0,2,2.0,2.0,1.95
0.0,35.0,2,2,4.0,0.0,1050.0,0,0,2,0.0,0.0,1.24
0.0,4.0,2,2,1.0,1.0,555.56,0,0,2,1.0,1.0,0.22
0.0,78.0,2,2,2.0,3.0,581.11,0,0,1,2.0,1.0,0.62
0.0,11.0,3,2,2.0,3.0,716.67,0,0,1,1.0,2.0,0.51
0.0,100.0,3,3,4.0,3.0,1780.0,1,0,1,0.0,0.0,1.54
1.0,32.0,5,5,4.0,0.0,9500.0,1,0,0,1.0,2.0,10.0
0.0,101.0,3,3,4.0,3.0,2295.56,1,0,1,2.0,2.0,1.38
1.0,77.0,4,5,4.0,3.0,2259.0,0,1,2,2.0,1.0,5.46
0.0,107.0,4,3,3.0,0.0,1762.16,0,0,1,2.0,2.0,0.95
0.0,68.0,3,3,3.0,4.0,2550.0,0,0,1,1.0,2.0,3.78
0.0,16.0,2,2,4.0,0.0,1230.63,0,0,1,2.0,1.0,0.94
0.0,102.0,2,4,4.0,4.0,1350.0,0,0,1,2.0,1.0,1.1
0.0,98.0,3,3,3.0,3.0,1644.14,0,0,1,2.0,0.0,0.9
0.0,107.0,4,3,3.0,3.0,2533.33,1,0,1,2.0,0.0,1.19
0.0,65.0,3,3,4.0,0.0,2121.62,0,0,2,2.0,2.0,1.65
